epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8542,2.10358,3.23167,1.9921,0.44526,0.26174,0.27416,0.07605,2.0446,3.07918,2.2206,0.000660767,0.000660767,0.000660767
2,31.3581,2.03778,2.57331,1.81523,0.48822,0.44203,0.38711,0.18454,2.02863,2.57326,2.04103,0.00130115,0.00130115,0.00130115
3,43.4049,2.03963,2.47988,1.92343,0.29138,0.26812,0.17464,0.07312,2.09999,2.93548,2.13444,0.00191513,0.00191513,0.00191513
4,55.4049,2.03731,2.35849,1.93337,0.43694,0.44928,0.34898,0.16127,1.92661,2.3907,2.15229,0.0018812,0.0018812,0.0018812
5,67.6663,2.0569,2.154,1.95956,0.40305,0.35717,0.25794,0.09974,2.13591,2.55177,2.28688,0.0018416,0.0018416,0.0018416
6,79.9399,2.06353,1.9892,1.93112,0.52456,0.47101,0.36657,0.14641,2.06019,2.53373,2.13732,0.001802,0.001802,0.001802
7,92.6465,2.08464,1.90548,1.93573,0.52453,0.42754,0.37539,0.157,2.10031,2.20273,2.1571,0.0017624,0.0017624,0.0017624
8,104.954,2.02976,1.89504,1.9038,0.56938,0.47826,0.40374,0.1749,1.98594,2.21147,2.05679,0.0017228,0.0017228,0.0017228
9,116.752,1.99804,1.88673,1.90318,0.50014,0.40602,0.36126,0.13153,2.06686,2.18923,2.10403,0.0016832,0.0016832,0.0016832
10,128.894,2.08726,1.84623,1.95039,0.64629,0.45652,0.40439,0.16775,1.97883,2.10275,2.13896,0.0016436,0.0016436,0.0016436
11,141.031,1.94255,1.78522,1.86511,0.52415,0.44203,0.37361,0.17067,1.92393,2.16011,2.11193,0.001604,0.001604,0.001604
12,152.897,1.94976,1.75718,1.87489,0.63085,0.44928,0.41509,0.20247,1.97382,2.20945,1.98893,0.0015644,0.0015644,0.0015644
13,164.899,1.92158,1.7107,1.83989,0.59525,0.51449,0.45746,0.22051,1.82371,1.91175,1.94909,0.0015248,0.0015248,0.0015248
14,176.567,1.95573,1.63361,1.83398,0.56037,0.48955,0.39857,0.17141,2.00693,2.2423,1.99851,0.0014852,0.0014852,0.0014852
15,188.441,1.93065,1.60373,1.83977,0.57659,0.48354,0.41137,0.17045,1.82146,2.09849,2.01851,0.0014456,0.0014456,0.0014456
16,200.466,1.90657,1.67331,1.855,0.60041,0.47826,0.41638,0.17996,1.91537,2.1135,2.03902,0.001406,0.001406,0.001406
17,212.798,1.94631,1.62809,1.84853,0.58531,0.48551,0.40223,0.17415,1.97766,2.12185,1.99511,0.0013664,0.0013664,0.0013664
18,225.996,1.88185,1.61288,1.7953,0.55524,0.47826,0.44858,0.21876,1.84342,2.08127,1.99637,0.0013268,0.0013268,0.0013268
19,240.497,1.89972,1.56569,1.79885,0.61875,0.5,0.42463,0.20322,1.86443,2.13513,1.98716,0.0012872,0.0012872,0.0012872
20,253.959,1.84218,1.49163,1.80327,0.61715,0.48551,0.47028,0.18886,2.01607,2.00933,2.12889,0.0012476,0.0012476,0.0012476
21,268.146,1.85645,1.59275,1.83677,0.69505,0.49275,0.47949,0.22677,1.82372,1.93274,2.00772,0.001208,0.001208,0.001208
22,280.644,1.81107,1.49918,1.79863,0.57781,0.44629,0.41141,0.18576,1.93326,2.06029,2.07788,0.0011684,0.0011684,0.0011684
23,292.701,1.85844,1.50631,1.83072,0.64543,0.51449,0.47098,0.21276,1.85095,1.98837,2.04203,0.0011288,0.0011288,0.0011288
24,305.309,1.82418,1.51554,1.81366,0.66771,0.50964,0.51131,0.22674,1.84321,1.92583,1.9667,0.0010892,0.0010892,0.0010892
25,317.571,1.82331,1.50383,1.78636,0.66151,0.47826,0.44629,0.2093,1.78637,2.00967,1.94502,0.0010496,0.0010496,0.0010496
26,329.565,1.83136,1.4411,1.7816,0.66604,0.53623,0.4881,0.24352,1.71971,1.97142,1.93853,0.00101,0.00101,0.00101
27,341.642,1.76276,1.44087,1.78373,0.63782,0.52322,0.44907,0.20525,1.71723,1.92951,1.96155,0.0009704,0.0009704,0.0009704
28,353.827,1.79351,1.44451,1.80518,0.62997,0.51817,0.45095,0.21525,1.83013,1.96762,1.98529,0.0009308,0.0009308,0.0009308
29,366.075,1.78402,1.41309,1.73805,0.66635,0.52174,0.47995,0.22137,1.73355,1.9816,1.89849,0.0008912,0.0008912,0.0008912
30,378.266,1.76394,1.44004,1.72462,0.69969,0.50725,0.48098,0.21055,1.7476,1.92,1.88589,0.0008516,0.0008516,0.0008516
31,390.149,1.74897,1.38195,1.68156,0.68181,0.50725,0.46422,0.21179,1.74879,1.93189,1.88552,0.000812,0.000812,0.000812
32,402.316,1.71119,1.26837,1.7036,0.66273,0.5,0.48226,0.21806,1.86991,1.93359,1.97093,0.0007724,0.0007724,0.0007724
33,414.652,1.81027,1.34278,1.78265,0.64441,0.51218,0.43254,0.16748,1.95712,2.14743,2.09151,0.0007328,0.0007328,0.0007328
34,426.389,1.71811,1.4153,1.67799,0.65425,0.54348,0.45449,0.19307,1.85523,1.95587,1.96034,0.0006932,0.0006932,0.0006932
35,438.444,1.72564,1.33538,1.70265,0.6717,0.52899,0.49708,0.21644,1.82334,1.94791,1.99231,0.0006536,0.0006536,0.0006536
36,451.087,1.72637,1.35147,1.72486,0.69274,0.52281,0.48805,0.18656,1.86062,1.87497,2.00073,0.000614,0.000614,0.000614
37,463.949,1.73647,1.28659,1.71591,0.69263,0.54348,0.48417,0.22546,1.72514,1.97935,1.89545,0.0005744,0.0005744,0.0005744
38,477.111,1.67319,1.31804,1.65732,0.70547,0.54348,0.50321,0.23408,1.80663,1.89153,1.94886,0.0005348,0.0005348,0.0005348
39,489.387,1.69407,1.2734,1.70056,0.70714,0.54242,0.49174,0.23647,1.77931,1.95601,1.92746,0.0004952,0.0004952,0.0004952
40,501.731,1.66112,1.30822,1.69585,0.70121,0.57971,0.51573,0.22276,1.79536,1.91106,1.92244,0.0004556,0.0004556,0.0004556
41,545.077,1.63868,1.17406,1.73143,0.73527,0.56522,0.51818,0.21393,1.86317,1.92271,1.971,0.000416,0.000416,0.000416
42,559.101,1.60661,1.141,1.70868,0.70967,0.54348,0.4895,0.21869,1.82058,1.98611,1.95286,0.0003764,0.0003764,0.0003764
43,572.021,1.61446,1.0969,1.67201,0.70424,0.55797,0.50215,0.22965,1.76848,1.99301,1.93715,0.0003368,0.0003368,0.0003368
44,585.211,1.56299,1.1218,1.69018,0.69408,0.55072,0.48425,0.20624,1.83665,1.97002,1.95199,0.0002972,0.0002972,0.0002972
45,598.54,1.55963,1.08942,1.65889,0.70367,0.56522,0.51429,0.23026,1.81149,1.92199,1.9181,0.0002576,0.0002576,0.0002576
46,611.173,1.54522,1.06137,1.68498,0.68129,0.54216,0.49118,0.21768,1.83159,1.88843,1.93638,0.000218,0.000218,0.000218
47,623.863,1.53703,1.05623,1.66226,0.69066,0.53623,0.49119,0.21326,1.86728,1.92938,1.98546,0.0001784,0.0001784,0.0001784
48,636.102,1.55708,1.04657,1.68243,0.69549,0.54619,0.49818,0.23111,1.82435,1.9156,1.96945,0.0001388,0.0001388,0.0001388
49,648.258,1.50095,1.01975,1.66085,0.68005,0.53909,0.49015,0.22591,1.8433,1.90859,1.96947,9.92e-05,9.92e-05,9.92e-05
50,660.258,1.47896,1.01306,1.65216,0.69361,0.53623,0.48936,0.21772,1.87644,1.9176,1.98574,5.96e-05,5.96e-05,5.96e-05
